Session_FinalSessionNumber	Session_Clientid	Session_Title	Slot_Date	 Slot_StartTime	Slot_EndTime	Session_CECredit	Session_Withdrawn	Session_SubTitle	Session_VerificationLevel	Property_Name	Room_Name	Session_Award	Program_Code
ME306	13029	Management of Gastroesophageal Junction Perforations and Esophageal Anastomotic Leaks	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	156	N	2016_me
ME307	13031	Management of GERD in the Obese Patient	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	203 B	N	2016_me
ME308	12947	Necrotizing Soft-Tissue Infections	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	142	N	2016_me
ME309	12945	New Concepts in Breast Cancer	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	148	N	2016_me
ME310	12993	Barretts Esophagus	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	204 A	N	2016_me
ME311	12941	Perioperative Airway Management of the Obese Patient	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	208 A	N	2016_me
ME312	12939	Practical Tips for Thyroidectomy	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	155	N	2016_me
ME313	12969	Minimally Invasive Treatment for Pancreatic Debridement	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	203 A	N	2016_me
ME314	12935	Sportsman Hernia: Is It Real?	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	209 A	N	2016_me
ME315	12931	Systematic Management of Nodal Disease from Thyroid Cancer	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	208 B	N	2016_me
NL01	13161	Opening Ceremony/Martin Memorial Lecture Sponsored by the American Urological Association	10/17/2016	8:00 AM	9:30 AM	0.5	N	The Martin Memorial Lecture and the American Urological Association Lecture (AUA) have been combined for presentation during the Opening Ceremony of the Clinical Congress.  The AUA Lecture has been sponsored by the AUA since 1967 and has featured diverse topics in surgery.  The Martin Memorial Lecture was established in 1946 to honor Franklin H. Martin MD FACS founder of the College and his wife Isabelle Hollister Martin.  The Martin Memorial Lecture is alternately nominated by the Advisory Council for Urological Surgery and the ACS Honors Committee.		Washington DC Convention Center	Hall D	N	2016_nl
NL02	13163	John H. Gibbon Jr. Lecture	10/17/2016	9:45 AM	10:45 AM	1	N	Established in 1971 to honor this pioneer in open-heart surgery.		Washington DC Convention Center	Ballroom A	N	2016_nl
NL03	13165	Charles G. Drake History of Surgery Lecture	10/17/2016	2:30 PM	3:30 PM	1	N	Established by the Advisory Council for Neurological Surgery in 1992 to explore the historical development of surgery and to honor this leader in neurological surgery.		Washington DC Convention Center	Ballroom A	N	2016_nl
NL04	13167	I.S. Ravdin Lecture in the Basic and Surgical Sciences	10/17/2016	4:15 PM	5:00 PM	0.75	N	Sponsored by the I.S. Ravdin Surgical Society since 1964 to honor Dr. Ravdin by promoting knowledge in basic sciences with application to surgery.		Washington DC Convention Center	Ballroom A	N	2016_nl
NL05	13169	Herand Abcarian Lecture	10/18/2016	8:00 AM	9:00 AM	1	N	Established by the Chicago Society of Colon and Rectal Surgerys in 2006 to honor this colon and rectal surgeon and to address issues of relevance to the surgical community at-large and focus on emerging issues in surgery.		Washington DC Convention Center	201	N	2016_nl
NL06	13171	Excelsior Surgical Society/Edward D. Churchill Lecture	10/18/2016	9:45 AM	10:45 AM	1	N	This lecture is named for the Excelsior Surgical Society a group of 80 medical officers who met for the first time in 1945 at the Excelsior Hotel Rome Italy.  This lecture also honors Col. Edward C. Churchill a famous surgeon and consultant to the U.S. Army in the World War II Italian Theatre who presented the first keynote address at the meeting.		Washington DC Convention Center	201	N	2016_nl
NL07	13173	Scudder Oration on Trauma	10/18/2016	12:45 PM	1:30 PM	0.75	N	Honoring Charles Locke Scudder a founding member of the College and a major contributor to the surgery of trauma.		Washington DC Convention Center	Ballroom A	N	2016_nl
NL08	13175	Olga M. Jonasson Lecture	10/18/2016	2:30 PM	3:30 PM	1	N	Esablished by the Women in Surgery Committee to honor the memory of Olga M. Jonasson MD FACS who died in August 2006.  This lecutreship is a testimony to leadership and education in surgery and a reflection of the capacity of women to reach academic pinnacles.		Washington DC Convention Center	145	N	2016_nl
NL09	13177	Distinguished Lecture of the International Society of Surgery	10/19/2016	8:00 AM	9:00 AM	1	N	Established in 1990 an endowed by the U.S. Chapter of the International Society of Surgery to recognize the Society's worthwhile activities by honoring distinguished international surgeons.		Washington DC Convention Center	201	N	2016_nl
NL10	13179	John J. Conley Ethics and Philosophy Lecture	10/19/2016	9:45 AM	10:45 AM	1	N	Sponsored by the Committee on Ethics and generously supported since1991 by John J. Conley MD FACS New York NY to explore ethical issues in surgery.  Dr. Conley died in 1999 but his legacy continues and his memory is honored at this annual lecture.		Washington DC Convention Center	201	N	2016_nl
NL11	13181	Commission on Cancer Oncology Lecture	10/19/2016	12:45 PM	1:45 PM	1	N	Established in 1988 to explore major developments in oncology and to focus on the surgeon's role in caring for cancer patients.		Washington DC Convention Center	Ballroom B	N	2016_nl
PS001	13485	Maintenance of Competency for the Military Surgeon	10/16/2016	7:00 AM	4:30 PM	6.5	N	The Excelsior Surgical Society will hold its next meeting during the ACS Clinical Congress in Washington DC. The original Excelsior Surgical Society met for the first time in 1945 at the end of World War II at the Excelsior Hotel in Rome. The Society consisted of surgeons who had been deployed and they met yearly to discuss their experiences until the Society was retired in the 1980s. The meeting consisted of updates from the Surgical Consultants to the Surgeon Generals of the Army Navy and Air Force as well as invited lectures and research presentations by surgical residents from military training programs. The Excelsior Surgical Society is now formalized and will be a permanent entity at the annual ACS meeting. The Society is currently developing a set of bylaws and is in the process of electing leaders and defining membership. At the  Clinical Congress 2016 meeting there will be a call for abstracts from military residents fellows and junior faculty expanding to all areas of surgery in addition to trauma. There are plans to hold a round-table discussion to include the Surgical Advisors to the Surgeons Generals on the topic of sustaining surgical skills in the military after completion of residency/fellowship training		Marriott Marquis Washington DC	Marquis Ballroom Salon 5	Y	2016_ps
PS002	13437	Resident and Associate Society Symposium Exploring the Limits of Surgeon Disclosure:  Where are the Boundaries?	10/16/2016	3:00 PM	5:30 PM	2.5	N	Surgical care has evolved tremendously over the past few decades.  Some of the most striking changes have occurred within the patient-doctor relationship.  In the current environment of increasing health consumerism surgical paternalism has been rejected and the traditional boundaries of surgeon-to-patient disclosure have been questioned.  Much attention has been directed to the surgeons perioperative fatigue the practice of concurrent surgery and the degree of trainee involvement in surgical cases.  Some patient advocates and physicians insist that patients be specifically informed of such details while many in the surgical community emphasize that the degree of disclosure should be subject to the attending surgeons professionalism and judgment. Should mandatory preoperative disclosure of details such as a surgeons sleep habits be required? Should family stressors also be disclosed?  If so what information is considered relevant to the procedure versus personal and private? Or should the boundaries of such disclosure be determined by the operating surgeons professional assessment and judgment?  These questions will be featured and debated at the 2016 RAS-ACS Symposium in Washington.		Washington DC Convention Center	145	N	2016_ps
PS100	12899	Contemporary  Management of the Diabetic Foot	10/17/2016	9:45 AM	11:15 AM	1.5	N	The goals of this course are to present the principles of evaluation treatment planning and surgical management of the Diabetic Charcot and Dysvascular Foot and Ankle with the goal of limb salvage. This course is designed convey the principles of surgical management of Charcot deformity re-vascularization and management of infection directed at the goal of limb salvage. This course will also cover the principles of amputation in the setting of the unsalvageable limb.		Washington DC Convention Center	202 A	Y	2016_ps
PS101	12907	Current Practices for the Diagnosis and Treatment of Surgery Associated Lymphedema	10/17/2016	9:45 AM	11:15 AM	1.5	N	This session will focus on current science of prevention diagnosis and treatment of lymphedema. Topics will include impedence measurements and multiple dye use facts vs. fiction of prevention recommendations. In addition treatments including taping and node transplants will be covered.		Washington DC Convention Center	202 B	Y	2016_ps
PS102	12913	Diverticulitis-Anything New in 2016?	10/17/2016	9:45 AM	11:15 AM	1.5	N	Acute diverticulitis remains a common and challenging surgical disease. The treatment paradigms are changing - What is the proper treatment in 2016? Which patient can be treated as an outpatient and who needs inpatient treatment? What is the role of interventional radiology? How many episodes of diverticulitis or which complications should be followed by surgical resection? Are stents useful? Is there a role for laparoscopic washout with or without diverting ileostomy? All these and more issues will covered by an expert panel.		Washington DC Convention Center	Hall D	Y	2016_ps
PS103	12915	Friend or Foe?: Understanding the Microbiome in the Surgical Patient	10/17/2016	9:45 AM	11:15 AM	1.5	N	The emergence and spread of multidrug resistant bacteria present serious challenges to surgeons. These challenges call for more panoramic views of the surgeon's domain to extend from the manipulating the patient's microbiome to modifying built environments. Participants will receive updates on efforts directed at ecosystem and patient micro biome engineering including the; 1) Home Microbiome Study regarding the stability of patient microbiomes and whether patient microbiomes colonize their house or the house's microbiome colonizes the patients 2) the Hospital Microbiome Project comparing microbial diversity in two hospital built environments: low incidence of bacterial resistance (patient rooms nursing station staff air water) to higher resistance (intensive care unit room from multiple rounds of wounded patients US Army hospital) and 3) using beneficial microbes in patient care.		Washington DC Convention Center	144	Y	2016_ps
PS104	12917	Human Papillomavirus (HPV) Related Cancers: Vaccinate Early Screen Regularly! What Surgeons Should Know	10/17/2016	9:45 AM	11:15 AM	1.5	N	This discussion will provide background on the typical presentation of the three most common Human papillomavirus (HPV)related cancers: oropharyngeal anal and genital. In contrast to cervical cancer which is often identified in the precancerous state by organized screening programs the prevalence oforopharyngeal and anal cancer have been on the rise. Oropharyngeal cancer in the United States has increased in incidence by over 200 percent over the past three decades with HPV now found in over 70 percent of these tumors. This has significant therapeutic and prognostic implications. A case-based discussion will offer a framework to highlight the approach in management of HPV-related cancers. In addition current recommendations for HPV vaccination in the United States the status of implementation and the importance of provider support for vaccination uptake will be provided.		Washington DC Convention Center	206	Y	2016_ps
PS105	12919	Humanitarian Surgical Outreach at Home and Abroad: Reports of the 2016 Volunteerism and Humanitarian Award Winners	10/17/2016	9:45 AM	11:15 AM	1.5	N	This plenary session showcases the 2016 Volunteerism and Humanitarian Award winners who will share insights into their motivation accomplishments and lessons learned related to humanitarian surgical outreach. The honorees' stories will be complemented by presentations from other innovators and leaders in surgical outreach to create a robust portrayal of this complex work.  Together they will form the basis for a lively question and answer segment at the conclusion of the session.		Washington DC Convention Center	102	N	2016_ps
PS106	12921	Surgical Management of Upper Gastrointestinal Bleeding	10/17/2016	9:45 AM	11:15 AM	1.5	N	Panelists bring forward the standard of care in 2016 for acute gastrointestinal bleeding: immediate resuscitation endoscopy imaging interventional radiology and surgical best practices. Discussion of mundane and difficult patients would highlight best practices for general surgeons in rural suburban and inner city practices.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS107	13499	Laparoscopy in Trauma and Acute Care Surgery	10/17/2016	9:45 AM	11:15 AM	1.5	N	This session will be a PRO/CON session reviewing the advantages/disadvantages of the use of laparoscopy in blunt and penetrating trauma. Speakers will review potential appropriate indications for the use of laparoscopy challenges to this technology and will review data regarding prevalence and outcomes of laparoscopy use in blunt and penetrating trauma.		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS108	12925	3D Printing in Cardiothoracic Surgery: Fad or Transformative?	10/17/2016	11:30 AM	1:00 PM	1.5	N	This session will review 3D printing in surgical planning education and new tissue and instrument usage in adult cardiac congenital and general thoracic surgery. The session will review how to set up a program partnerships that are needed and provide examples of novel composite tissue usages educational curriculum and procedural planning. It will also discuss realistic future applications.		Washington DC Convention Center	202 B	Y	2016_ps
PS109	12927	Challenging Emergency Surgery Cases: Lessons from the Experts	10/17/2016	11:30 AM	1:00 PM	1.5	N	Because of the breadth and complexity of emergency surgery a night on call can present a bewildering array of cases.  This session will present a panel of experts with a series of actual cases encountered while on call and elicit how they would manage them.  An active audience interactive session will be encouraged (Audience Response System will be used).		Washington DC Convention Center	Hall D	Y	2016_ps
